error_id,worker_id,pdf_page1,jp2_leaf,classification,diplomatic_printed_form,critical_repair,adjudication,minimal_hypotheses,proof_certificate,propagation_outcome,prior_notice_outcome,source_ids,diplomatic_layer_mutated,critical_layer_state
W06-PE001,W06,042,L0041,definite_1897_printed_formula_error,x = psi x = nth_root( X / (x^n/Y) ),In the critical layer use the symmetric candidate ψ(x)=(Y/(X/x^n))^{1/n}; do not assert that this is the unique historical correction.,coherent_formula_reconstruction_proved_nonunique,"X,Y and x nonzero where the quotient is formed, with compatible fixed radical branches; further monotonicity is required for bracketing",Exact polynomial examples prove that the printed map is not equivalent to X=Y and can lie on the same side of x as the first map. The symmetric candidate is algebraically equivalent to X=Y wherever denominators and the selected radical branches are defined.,"The algebraic fixed-point equivalence is restored by this critical reconstruction, but the bracketing assertion still requires branch and monotonicity hypotheses; no later work uses the formula.",No prior explicit notice or uniquely documented historical emendation was found.,SRC-LOCAL-1897,no,closed
W06-SE001,W06,043,L0042,substantive_1897_missing_nonvanishing_hypothesis,"nX-xXprime > 0, nY-xYprime > 0; take k=(nX-xXprime) at x=1","For X=Σ c_jx^j with c_j≥0, require at least one c_j>0 for j<n; analogously for Y.",missing_hypothesis_repaired,"x>0, nonnegative coefficients, and a positive coefficient below degree n",nX-xX′=Σ_{j<n}(n-j)c_jx^j. On x>0 it is strictly positive exactly when a lower-degree coefficient is positive.,The parameter k is then nonzero and the rational iteration is defined.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W07-SE001,W07,046,L0045,invalid_counterexample_to_nonradical_expressibility,x^2+x+1=0 mod 2 is offered as an example showing the roots are not expressible by radicals because the ordinary quadratic formula reduces to 0/0.,Remove the example as evidence against radical expressibility; retain only the observation that the characteristic-zero quadratic formula degenerates.,printed_example_rejected,none,A root α of x²+x+1 over F2 satisfies α³=1 and is itself a nontrivial cube root of unity.,No later finite-field construction depends on the invalid example.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W07-SE002,W07,049,L0048,missing_nonzero_hypotheses,a^{m(p-1)}=1 and a_1^{m(p-1)}=1 are used without a nonzero qualification.,Add a≠0 and a_1≠0 modulo p before applying Fermat’s theorem.,missing_hypothesis_repaired,nonzero coefficients,Fermat’s relation u^{p-1}=1 holds on F_p^×. Exact enumeration confirms failure precisely when one selected coefficient is zero.,"The worked choice a=-1,a_1=1 satisfies the repair, so its primitive-element conclusion survives.",No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W07-SE003,W07,050,L0049,incomplete_squarefree_method_in_characteristic_p,The same derivative-gcd method as for ordinary equations is said always to remove repeated roots.,"Add the characteristic-p branch: if F′=0, take a p-th root of F and recurse; otherwise perform squarefree factorization with gcd(F,F′).",algorithm_repaired,perfect coefficient field or explicit p-th-root availability for the extraction step,"For F=x³-1 over F3, F′=0 and F/gcd(F,F′)=1 loses the root.",Repairs the repeated-root algorithm; later finite-field factor selection survives.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W07-SE004,W07,050,L0049,zero_residue_omitted,"Integral solutions are obtained from gcd(F,x^{p-1}-1).","Use gcd(F,x^p-x) to include every residue, or test x=0 separately before using x^{p-1}-1.",formula_repair_proved,none,"F=x has the integral solution 0, but gcd(x,x^{p-1}-1)=1.",The residue-root extraction algorithm then covers zero and nonzero roots.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W07-SE005,W07,050,L0049,proper_subfield_factors_not_removed,"Solutions of order nu are said to be given by gcd(F,x^{p^nu-1}-1).","For exact degree ν, remove all proper-subfield factors; equivalently use the product of monic irreducibles whose degrees equal ν, obtainable by Möbius inversion from x^{p^d}-x.",formula_repair_proved,finite fields and the standard subfield lattice,"x^{p^ν-1}-1 contains every nonzero element of F_{p^d} for d|ν; for p=3,ν=2, the degree-one element 1 is already a root.",The general factor-selection method survives after exact-degree isolation.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W08-PE001,W08,058,L0057,duplicated_representative_and_omitted_projective_point,"infinity, 1, 3, 5, 5, 9","Replace the second 5 by 4, giving upper row ∞,1,3,4,5,9.",witness_supported_formula_repair,the displayed projective action,"The corrected pairs partition P¹(F11); exact enumeration gives |PSL(2,11)|=660 and matching stabilizer 60, hence index 11.",Restores the p=11 modular lowering; no later proof in the volume depends on the duplicate.,"The 1846 publication already prints 4, but no explicit erratum was found; earliest attested correct witness is 1846.",SRC-LOCAL-1846;SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W08-PE002,W08,058,L0057,editorial_word_substitution_attested_by_1846_and_1908_collation,"En toute rigueur, cette équation n’est pas possible dans les cas plus élevés.",Replace équation by réduction in the critical layer.,witness_supported_lexical_repair,none,"The 1846 publication has réduction; Tannery’s 1908 collation identifies the 1897 substitution. Semantically, réduction names the degree-lowering operation under discussion, whereas équation does not.",No mathematical formula changes; the scope of the impossibility sentence is restored.,Correct in 1846; explicitly noticed by Tannery in 1908.,SRC-LOCAL-1846;SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W09-PE001,W09,065,L0064,definite_demonstrative_lexeme_error,en permutant dans celle fonction,Replace celle fonction by cette fonction.,witness_supported_lexical_repair,none,The demonstrative must agree with fonction and the 1846 witness prints cette.,No mathematical dependency.,Correct in 1846; no explicit later notice found.,SRC-LOCAL-1846;SRC-LOCAL-1897,no,closed
W09-PE002,W09,071,L0070,definite_missing_diacritic_typographical_error,proprieté,Restore the accent: propriété.,typographical_repair_proved,none,The 1897 form proprieté is a missing-diacritic typographical error under standard French orthography. The local collation did not establish an 1846 comparison reading for this exact token.,No mathematical dependency.,No explicit prior notice or securely established earlier corrected witness was found in the searched corpus.,SRC-LOCAL-1897,no,closed
W09-SE001,W09,065-066,L0064-L0065,incomplete_proof_missing_gcd_bezout_step,"The unique common root is said to be “sought”, and the root is therefore declared rational in V.","In K(V)[X], prove gcd(P,Q)=X-a_i and use a Bézout identity to express a_i rationally in V.",proof_gap_repaired,separability/distinct roots and uniqueness of the selected common root,"Uniqueness of the common root makes the monic gcd linear; Euclid gives U P+V Q=X-a_i, hence a_i lies in K(V).","Closes Lemma III, Proposition I, and every later construction that treats roots as rational functions of the resolvent V.",Galois’s own insufficiency note for Lemma III is reported explicitly by Tannery in 1908. No earlier published Bézout repair was identified in the searched corpus.,SRC-LOCAL-1908,no,closed
W09-SE002,W09,069-070,L0068-L0069,undefined_parameter_and_false_composite_degree_generality,"After adjoining a root of an irreducible auxiliary equation, the group is unchanged or divides into p equal groups, although the prime-degree phrase defining p was deleted.","Let L/K be the original splitting field, M=K(r), E=L∩M, H=Gal(L/E). Then [G:H]=[E:K] divides [M:K]. Recover the 1-or-p dichotomy only when [M:K]=p is prime.",theorem_repaired,finite separable splitting field; prime degree only for the dichotomy,The Galois correspondence gives H and the compositum degree formula gives [E:K]|[M:K]. The degree-4 element √2+√3 yields an index-2 counterexample to a composite-degree dichotomy.,Supplies the correct subgroup decomposition used in Proposition III and the radical tower.,Tannery 1908 records the deleted prime-degree wording and incompleteness; Dicker 2026 is a modern dedicated reconstruction.,SRC-LOCAL-1908;SRC-DICKER-2026,no,closed
W09-SE003,W09,070-071,L0069-L0070,missing_proof_requiring_normal_intersection_argument,The revised theorem is printed without its proof (“On trouvera la démonstration”).,"If M/K is a splitting field, E=L∩M is Galois over K, so H=Gal(L/E) is normal in G. Therefore all conjugate subgroups coincide after adjoining all auxiliary roots.",proof_gap_repaired,both L/K and M/K finite Galois,Intersections of finite normal separable extensions are normal and separable.,Repairs Proposition III and every later use of a common normal subgroup.,"Tannery 1908 records the revised statement, erased predecessor proof, and Liouville interpolation. No prior published normal-intersection proof for this exact passage was identified in the searched corpus.",SRC-LOCAL-1908,no,closed
W09-SE004,W09,073,L0072,proof_gap_selected_resolvent_can_vanish,The proof adjoins the p-th root of one specifically displayed Fourier combination raised to p.,Define all Fourier coefficients R_m=Σ ζ^{mj}θ_j and choose a nonzero coefficient with m≠0; do not privilege R_1.,proof_gap_repaired,p invertible in the base field and a primitive p-th root of unity available,A cyclic example has R_1=0 and R_2=3t. Fourier inversion shows all nontrivial coefficients cannot vanish unless the orbit is constant.,The selected nonzero R_m has invariant p-th power and supports the same radical adjunction.,No prior explicit notice found in the searched corpus.,SRC-LOCAL-1897;SRC-NEUMANN-2013,no,closed
W09-SE005,W09,075,L0074,false_unconditional_assertion_missing_kummer_normality_context,An irreducible prime-degree equation is said not to become reducible unless its group reduces to one permutation.,"Require the radical extension to be cyclic Galois of prime degree in the inherited Kummer setting. Then reducibility of a prime-degree irreducible polynomial forces the relevant normal subgroup to be trivial, hence complete splitting.",missing_hypothesis_repaired,"base contains the needed roots of unity; radical extension irreducible, cyclic, Galois, and prime degree","x³-2 over Q becomes reducible over Q(∛2) but does not split. Under normal prime-degree Kummer hypotheses, subgroup orbits form a block system, so nontransitive normal subgroup is trivial.",Propositions VI-VII survive only within this Kummer context.,No prior explicit notice found.,SRC-LOCAL-1897;SRC-NEUMANN-2013,no,closed
W09-SE006,W09,078,L0077,omitted_nonidentity_quantifier,"The affine substitution x_k↦x_{ak+b} is said never to leave two letters in place, with no exclusion of the identity.",Insert nonidentity before the affine fixed-point claim.,missing_qualifier_repaired,none,"For k↦ak+b, the identity fixes all p points; a nonidentity map fixes zero points if a=1,b≠0 and exactly one if a≠1.",Proposition VIII’s two-root criterion survives because only nonidentity elements are relevant.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W10-PE001,W10,082,L0081,definite_repeated_second_index,"a_{k_1,k_1,k_3,\ldots,k_\mu}",Replace the repeated k_1 by k_2.,witness_supported_index_repair,none,"The declared independent indices require k_1,k_2,… and Tannery explicitly records the correction.",Restores the coordinate tuple; subsequent affine construction survives.,Explicitly corrected by Tannery in 1908.,SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W10-PE002,W10,082,L0081,definite_misplaced_index,\psi(k)_2,"Read ψ(k_2), not ψ(k)_2.",witness_supported_index_repair,none,Coordinate parallelism and Tannery’s correction agree.,Restores the second coordinate function.,Explicitly corrected by Tannery in 1908.,SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W10-PE003,W10,083,L0082,definite_missing_index_separator,a_{mk_1+n k_2},"Read a_{mk_1+n,k_2}.",witness_supported_index_repair,none,The transformation changes the first coordinate and leaves the second fixed; Tannery gives the separated pair.,The one-coordinate affine action and later two-coordinate action remain coherent.,Explicitly corrected by Tannery in 1908.,SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W10-PE004,W10,083,L0082,definite_wrong_source_indices,"a_{k_2,k_3}","Read a_{k_1,k_2}.",context_forced_index_repair,none,"Only k_1,k_2 have been introduced in the section, and the target has those two coordinates.",Restores a map on the stated domain.,No explicit prior notice found.,SRC-LOCAL-1897,no,closed
W10-PE005,W10,084,L0083,definite_malformed_affine_pair,a_{m_1k_1+n_1k+\alpha_1m_2k_1+n_2k_2+\alpha_2},"Reconstruct formula (A) as a_{m_1k_1+n_1k_2+α_1, m_2k_1+n_2k_2+α_2}.",witness_supported_formula_repair,invertible linear part where a permutation is intended,It is the affine form forced by the finite-difference condition and is explicitly supplied by Tannery.,The affine-linearity argument can then be stated correctly under W10-DA002’s inherited solvability hypotheses.,Explicitly corrected by Tannery in 1908.,SRC-LOCAL-1897;SRC-LOCAL-1908,no,closed
W10-PE006,W10,088,L0087,definite_extra_factor_m,(rk+s)k-m(mk+n)=0,Remove the extra factor m: (rk+s)k-(mk+n)=0.,formula_repair_proved,projective denominator treated in P¹,This is the direct fixed-point equation of T(k)=(mk+n)/(rk+s); its discriminant is the next printed expression (m-s)^2+4nr.,Restores the fixed-point/support trichotomy; the p=3 terminal argument still fails independently under W10-DA003.,The same error occurs in 1846; no explicit erratum was found.,SRC-LOCAL-1846;SRC-LOCAL-1897,no,closed
W10-SE001,W10,086,L0085,omitted_nonidentity_qualification,m est nécessairement <2 et ... 0 ou 1,Insert nonidentity before asserting fixed-space dimension <2.,missing_qualifier_repaired,none,A nonidentity affine map has empty fixed set or an affine fixed set of dimension 0 or 1; the identity has dimension 2.,The divisibility bound survives; the identity is handled separately.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W10-SE002,W10,087,L0086,identity_exception_in_universal_fixed_point_claim,"dans ces substitutions, aucune lettre ne reste à la même place, et elles sont au nombre de p^2-1",Replace p²-1 by p²-2 in the count of nonidentity scalars moving every nonzero letter; retain subgroup order p²-1.,count_repaired,none,The scalar group contains identity; every other scalar fixes only zero.,The final affine-group order p²(p²-1)(p²-p) is unchanged.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W11-PE001,W11,092,L0091,definite_incorrect_page_reference,1,Replace the table-of-contents page reference 1 by roman v in the critical layer.,page_reference_repair_proved,none,The Introduction occupies logical folios v-x by the primary page map; the 1897 table prints Arabic 1.,Only the critical navigation reference changes.,A Harvard-copy Wikisource transcription silently prints v and was last modified 2018-07-22; this is the earliest securely dated notice found.,SRC-LOCAL-1897;SRC-WIKI-TOC;SRC-ETH-1897,no,closed
