record_type,worker_id,record_id,pdf_pages,jp2_leaves,region,diplomatic_form_or_description,critical_form_or_alternatives_not_applied,classification,source_disposition,required_action,transaction_state,evidence_ids,editorial_instruction,proof_status,proof_artifact
printed_or_source_error,W06,W06-PE001,042,L0041,second radical display and immediately following one-above/one-below sentence,x = psi x = nth_root( X / (x^n/Y) ),Critical reconstruction candidate: x = psi x = nth_root( Y / (X/x^n) ),definite_1897_printed_formula_error,source_error,note_only,staged_isolated,W06-E042B;W06-E1846;W06-MATH001,Preserve the printed X numerator and x^n/Y denominator and preserve the following printed claim. Any symmetric correction belongs only in visibly separate critical apparatus with the exact certificate; the 1846 repetition is not a correcting variant.,proved_symbolically,expanded_worker_returns/W06_PDF042-043_NUMERICAL_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W06-PE001; expanded_worker_returns/W06_PDF042-043_NUMERICAL_EQUATIONS/FORMULA_CHECKS.json#W06-MATH001A-W06-MATH001D
printed_or_source_error,W06,W06-SE001,043,L0042,identical strict inequalities and prescription of k at x=1,"nX-xXprime > 0, nY-xYprime > 0; take k=(nX-xXprime) at x=1","For X=sum c_j x^j with c_j>=0, nX-xXprime=sum_{j<n}(n-j)c_jx^j; strict positivity on x>0 is equivalent to at least one positive coefficient below degree n. Require the analogous condition for Y.",substantive_1897_missing_nonvanishing_hypothesis,source_error,note_only,staged_isolated,W06-E043A;W06-MATH002,Preserve both strict inequalities and the k prescription. A future critical or translated layer must state the missing nonvanishing or lower-degree-term hypothesis explicitly and cite the zero-k counterexample.,proved_exact_polynomial_counterexample,expanded_worker_returns/W06_PDF042-043_NUMERICAL_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W06-SE001; expanded_worker_returns/W06_PDF042-043_NUMERICAL_EQUATIONS/FORMULA_CHECKS.json#W06-MATH002; P06_REQUIRED_HYPOTHESIS_RECHECK.md; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH000A-W07-MATH000B
printed_or_source_error,W07,W07-SE001,046,L0045,first historical footnote after Frobenius-root list,x^2+x+1=0 mod 2 is offered as an example showing the roots are not expressible by radicals because the ordinary quadratic formula reduces to 0/0.,A nontrivial root alpha satisfies alpha^3=1 and is itself a radical (a cube root of unity); 0/0 only shows degeneration of that formula in characteristic 2.,invalid_counterexample_to_nonradical_expressibility,source_error,note_only,staged_isolated,W07-E046A;W07-E1846;W07-MATH001,Preserve the complete footnote. Any correction belongs only in visibly separate critical/translation apparatus.,proved_exact_finite_field,expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/MATHEMATICAL_ERROR_CERTIFICATES.md#W07-SE001; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH001
printed_or_source_error,W07,W07-SE002,049,L0048,Newton/Fermat reduction for (a+a_1 i)^19,a^{m(p-1)}=1 and a_1^{m(p-1)}=1 are used without a nonzero qualification.,"Require a!=0 and a_1!=0 modulo p for these reductions; the chosen values a=-1,a_1=1 satisfy the missing condition.",missing_nonzero_hypotheses,source_error,note_only,staged_isolated,W07-E049A;W07-MATH011A;W07-MATH011B,Preserve the printed reductions and successful chosen pair; state the domain restriction only in a critical layer.,proved_exact_finite_field,expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/MATHEMATICAL_ERROR_CERTIFICATES.md#W07-SE002; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH011A;W07-MATH011B
printed_or_source_error,W07,W07-SE003,050,L0049,"preparation of F by removing gcd(F,Fprime)",The same derivative-gcd method as for ordinary equations is said always to remove repeated roots.,"In characteristic p, Fprime may vanish identically; a p-th-root extraction branch is required before recursive squarefree reduction.",incomplete_squarefree_method_in_characteristic_p,source_error,note_only,staged_isolated,W07-E050A;W07-MATH003,Preserve the historical method statement; attach the inseparability qualification only as critical apparatus.,proved_exact_polynomial_counterexample,expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/MATHEMATICAL_ERROR_CERTIFICATES.md#W07-SE003; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH003
printed_or_source_error,W07,W07-SE004,050,L0049,gcd procedure for integral solutions,"Integral solutions are obtained from gcd(F,x^{p-1}-1).","This detects only nonzero residues. Use x^p-x for all residues, or test/remove x=0 separately.",zero_residue_omitted,source_error,note_only,staged_isolated,W07-E050A;W07-MATH004,Preserve x^{p-1}=1 in the French layer; any all-residue repair must be explicit.,proved_exact_polynomial_counterexample,expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/MATHEMATICAL_ERROR_CERTIFICATES.md#W07-SE004; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH004
printed_or_source_error,W07,W07-SE005,050,L0049,gcd procedure for imaginary solutions of order nu,"Solutions of order nu are said to be given by gcd(F,x^{p^nu-1}-1).",The polynomial also contains every nonzero element of proper subfields whose degree divides nu; exact-degree isolation requires removal of proper-subfield factors (and separate zero handling).,proper_subfield_factors_not_removed,source_error,note_only,staged_isolated,W07-E050A;W07-MATH005,Preserve the printed gcd prescription; defer a full exact-degree repair and propagation analysis to the bounded post-completion audit.,proved_exact_polynomial_counterexample,expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/MATHEMATICAL_ERROR_CERTIFICATES.md#W07-SE005; expanded_worker_returns/W07_PDF044-053_NUMBER_THEORY/FORMULA_CHECKS.json#W07-MATH005
printed_or_source_error,W08,W08-PE001,058,L0057,p=11 representative upper row,"infinity, 1, 3, 5, 5, 9","infinity, 1, 3, 4, 5, 9",duplicated_representative_and_omitted_projective_point,source_error,note_only,staged_isolated,W08-E058A;W08-E1846A;W08-MATH001;W08-MATH002;W08-MATH003,Preserve the second printed 5 in the 1897 French layer. Record 4 only in visibly separate critical/translation apparatus with the exact partition proof.,proved_exact_finite_set_group_and_secondary_witness,expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/MATHEMATICAL_ERROR_CERTIFICATES.md#W08-PE001; expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/FORMULA_CHECKS.json#W08-MATH001-W08-MATH007; expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/figures/FIGURE_PROVENANCE.csv
printed_or_source_error,W08,W08-PE002,058,L0057,"sentence following p=5,7,11 modular-equation lowering","En toute rigueur, cette équation n’est pas possible dans les cas plus élevés.","En toute rigueur, cette réduction n’est pas possible dans les cas plus élevés.",editorial_word_substitution_attested_by_1846_and_1908_collation,source_error,note_only,staged_isolated,W08-E058B;W08-E1846A;W08-E1908A,Preserve “équation” in the 1897 French layer. Any “réduction” correction must be explicit critical apparatus.,proved_by_direct_1846_and_1908_witness_collation,expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/MATHEMATICAL_ERROR_CERTIFICATES.md#W08-PE002; expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/EDITORIAL_COLLATION_NOTES.md; expanded_worker_returns/W08_PDF054-061_CHEVALIER_LETTER/figures/FIGURE_PROVENANCE.csv
printed_or_source_error,W09,W09-PE001,065,L0064,Lemma II statement,en permutant dans celle fonction,en permutant dans cette fonction,definite_demonstrative_lexeme_error,source_error,note_only,staged_isolated,W09-E065;W09-E1846-040,Preserve “celle fonction” in the 1897 French layer; “cette fonction” belongs only in explicitly labelled critical or translation apparatus.,proved_by_primary_image_and_1846_collation,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/PRINTED_ERRORS.csv; expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/EDITORIAL_COLLATION_NOTES.md
printed_or_source_error,W09,W09-PE002,071,L0070,Chevalier/Liouville historical note to Proposition III,proprieté,propriété,definite_missing_diacritic_typographical_error,source_error,note_only,staged_isolated,W09-E071,Preserve “proprieté” in the 1897 French layer; normalize only in an explicitly labelled critical or translation layer.,proved_by_direct_primary_image_inspection,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/PRINTED_ERRORS.csv; expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/CHECKPOINT_CORRECTION_REPORT.md
printed_or_source_error,W09,W09-SE001,065-066,L0064-L0065,Lemma III proof,"The unique common root is said to be “sought”, and the root is therefore declared rational in V.","In K(V)[X], prove that the relevant gcd is X-a and use the Euclidean algorithm/Bézout identity to obtain a in K(V).",incomplete_proof_missing_gcd_bezout_step,source_error,note_only,staged_isolated,W09-E065;W09-E066;W09-E1908-014;W09-MATH001,Preserve the printed proof. Put the complete gcd/Bézout argument only in critical apparatus and propagate its use to Proposition I.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE001
printed_or_source_error,W09,W09-SE002,069-070,L0068-L0069,Proposition II statement and proof,"After adjoining a root of an irreducible auxiliary equation, the group is unchanged or divides into p equal groups, although the prime-degree phrase defining p was deleted.","Let L be the original splitting field, M=K(r), E=L∩M, and H=Gal(L/E); then [G:H]=[E:K] divides [M:K]. The printed dichotomy follows when [M:K] is prime, not in arbitrary composite degree.",undefined_parameter_and_false_composite_degree_generality,source_error,note_only,staged_isolated,W09-E069;W09-E070;W09-E1908-015;W09-E1908-016;W09-MATH005;W09-MATH006,Preserve the 1897 theorem and historical note. State the field-intersection theorem only in a visibly distinct repaired layer.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE002
printed_or_source_error,W09,W09-SE003,070-071,L0069-L0070,Proposition III,The revised theorem is printed without its proof (“On trouvera la démonstration”).,"If M is the splitting field of the auxiliary equation and E=L∩M, then E/K is normal; hence H=Gal(L/E) is normal in G and the conjugate groups have the same substitution set.",missing_proof_requiring_normal_intersection_argument,source_error,note_only,staged_isolated,W09-E070;W09-E071;W09-E1908-017,Preserve the unproved printed statement and historical note; supply the normal-intersection proof only in critical apparatus.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE003
printed_or_source_error,W09,W09-SE004,073,L0072,Proposition V Fourier/Lagrange resolvent argument,The proof adjoins the p-th root of one specifically displayed Fourier combination raised to p.,That selected coefficient may vanish. Choose a nonzero nontrivial Fourier coefficient; discrete Fourier inversion proves one exists for every nonconstant orbit.,proof_gap_selected_resolvent_can_vanish,source_error,note_only,staged_isolated,W09-E073;W09-MATH001;W09-MATH002;W09-MATH004,Preserve the displayed source formula; supply nonvanishing selection only in critical proof reconstruction.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE004
printed_or_source_error,W09,W09-SE005,075,L0074,Proposition VI final inference,An irreducible prime-degree equation is said not to become reducible unless its group reduces to one permutation.,"The inference requires the inherited roots-of-unity/Kummer normality context. Over Q, x^3-2 becomes reducible after adjoining its real cube root while a quadratic factor and residual group of order 2 remain.",false_unconditional_assertion_missing_kummer_normality_context,source_error,note_only,staged_isolated,W09-E075;W09-MATH007;W09-MATH008,Preserve the printed sentence. State the Kummer/normality hypotheses only in a critical layer and propagate the dependency to Proposition VII.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE005
printed_or_source_error,W09,W09-SE006,078,L0077,Proposition VIII necessity argument,"The affine substitution x_k↦x_{ak+b} is said never to leave two letters in place, with no exclusion of the identity.","Insert “nonidentity”: the identity a=1,b=0 fixes every letter; every nonidentity affine map fixes at most one point.",omitted_nonidentity_quantifier,source_error,note_only,staged_isolated,W09-E078;W09-MATH009;W09-MATH015,Preserve the printed sentence; add the missing quantifier only in critical or expository apparatus. The theorem’s repaired argument remains valid.,proved_by_exact_repair_or_counterexample,expanded_worker_returns/W09_PDF062-079_RADICALS_MEMOIR/MATHEMATICAL_ERROR_CERTIFICATES.md#W09-SE006
printed_or_source_error,W10,W10-PE001,082,L0081,general form of the indexed letters,"a_{k_1,k_1,k_3,\ldots,k_\mu}","a_{k_1,k_2,k_3,\ldots,k_\mu}",definite_repeated_second_index,source_error,note_only,staged_isolated,W10-E082;W10-E1908-022,Preserve the duplicate k_1 in the 1897 layer; Tannery’s k_2 correction belongs only in critical apparatus.,proved_philologically_and_by_1908_collation,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE001
printed_or_source_error,W10,W10-PE002,082,L0081,general form of substitutions in H,\psi(k)_2,\psi(k_2),definite_misplaced_index,source_error,note_only,staged_isolated,W10-E082;W10-E1908-022,Preserve the printed subscript placement; normalize only in a labelled critical/translation layer.,proved_philologically_and_by_1908_collation,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE002
printed_or_source_error,W10,W10-PE003,083,L0082,prime-degree action on horizontal lines,a_{mk_1+n k_2},"a_{mk_1+n,k_2}",definite_missing_index_separator,source_error,note_only,staged_isolated,W10-E083;W10-E1908-022,Preserve the single malformed subscript in the diplomatic TeX; the two-index repair is critical apparatus only.,proved_by_coordinate_structure_and_1908_collation,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE003
printed_or_source_error,W10,W10-PE004,083,L0082,general form of substitutions in H,"a_{k_2,k_3}","a_{k_1,k_2}",definite_wrong_source_indices,source_error,note_only,staged_isolated,W10-E083,"Preserve k_2,k_3 in the 1897 layer; record k_1,k_2 only as the contextually forced repair.",proved_by_local_index_domain,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE004
printed_or_source_error,W10,W10-PE005,084,L0083,display (A),a_{m_1k_1+n_1k+\alpha_1m_2k_1+n_2k_2+\alpha_2},"a_{m_1k_1+n_1k_2+\alpha_1,\,m_2k_1+n_2k_2+\alpha_2}",definite_malformed_affine_pair,source_error,note_only,staged_isolated,W10-E084;W10-E1908-022,Preserve the malformed one-subscript formula; Tannery’s mathematically corrected two-coordinate affine map is apparatus only.,proved_by_affine_structure_and_1908_collation,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE005
printed_or_source_error,W10,W10-PE006,088,L0087,fixed-point equation for the projective substitution,(rk+s)k-m(mk+n)=0,(rk+s)k-(mk+n)=0,definite_extra_factor_m,source_error,note_only,staged_isolated,W10-E088;W10-E1846-064;W10-MATH001,Preserve the extra factor m. The printed discriminant proves that the critical equation omits this factor; the 1846 witness already carries the same defect.,proved_symbolically,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-PE006
printed_or_source_error,W10,W10-SE001,086,L0085,fixed-letter dimension argument,m est nécessairement <2 et ... 0 ou 1,"For a nonidentity affine map of F_p^2, the fixed set is empty or an affine subspace of dimension 0 or 1; the identity has dimension 2.",omitted_nonidentity_qualification,source_error,note_only,staged_isolated,W10-E086;W10-MATH006,Preserve the printed universal phrasing. Add “nonidentity” only in the critical proof; the divisibility conclusion itself remains valid for the identity.,proved_by_affine_fixed_set_analysis,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-SE001
printed_or_source_error,W10,W10-SE002,087,L0086,multiplicative scalar subgroup,"dans ces substitutions, aucune lettre ne reste à la même place, et elles sont au nombre de p^2-1","The p^2-1 scalar maps include the identity. Exactly p^2-2 nonidentity scalars move every nonzero letter; every scalar fixes a_{0,0}.",identity_exception_in_universal_fixed_point_claim,source_error,note_only,staged_isolated,W10-E087;W10-MATH006,Preserve the printed claim. Correct only in critical apparatus; the subgroup order p^2-1 and subsequent affine-group count remain intact.,proved_by_field_scalar_analysis,expanded_worker_returns/W10_PDF080-091_PRIMITIVE_EQUATIONS/MATHEMATICAL_ERROR_CERTIFICATES.md#W10-SE002
printed_or_source_error,W11,W11-PE001,092,L0091,"Table des matières, Introduction page-reference column",1,v,definite_incorrect_page_reference,source_error,note_only,staged_isolated,W11-E092-INTRO;W11-E-MAP;W11-E-W02,"Preserve Arabic 1 in the 1897 diplomatic ToC. In a visibly distinct critical/GPT or translation layer, print an explicit erratum to logical folio v with this proof certificate; never silently substitute v in the source layer.",proved_by_primary_image_and_frozen_foliation_map,expanded_worker_returns/W11_PDF092-096_BACKMATTER/ERRATA_AND_READING_CERTIFICATES.md#W11-PE001
unresolved_reading_or_topology,W01,W01-U001,019,L0018,"lower-left edge of portrait image; approximately xyxy=850,3500,1500,3900",Faint plate signature/credit is not reliably legible.,,reading,unresolved,defer,proposed,W01-E019A,Do not invent or import an artist/engraver name from another witness.,unresolved,
unresolved_reading_or_topology,W01,W01-U002,021,L0020,portrait field and page topology,"Relation to the legible portrait on PDF 019 is unresolved (second historical impression, duplicate plate, or digitization duplication).",,topology,unresolved,defer,staged_isolated,W01-E021;W01-E021A;W01-E021B,"Do not delete, merge, or deduplicate PDF 021 without primary-image adjudication.",unresolved,
unresolved_reading_or_topology,W01,W01-U003,007,L0006,"publisher-device ribbon; xyxy=1300,3150,2300,4300",Ribbon legend is not expanded into text because a secure reading was not obtained.,,reading_preserved_graphically,unresolved,defer,staged_isolated,W01-E007B,Do not conjecturally normalize or supplement the legend; retain the source crop.,unresolved,
unresolved_reading_or_topology,W11,W11-U001,093,L0092,small printer job number left of the second colophon line,The four digit bodies are fused in the bitonal primary image; a secure character-by-character reading was not obtained.,,reading_preserved_graphically,unresolved,defer,staged_isolated,W11-E093-JOB,"Do not guess digits, replace the crop with OCR, or import a number from an external copy without a separately documented witness comparison.",unresolved,
